bo3_id,players,winner,score,replay_urls,maps,total_duration_min,time_span_hours,description
Bo3_645,Tilfidius_Lamarre vs precisehawk4068,precisehawk4068,2-1,"https://api.bar-rts.com/replays/73b32f683f37de7882228234e5cd08b1,https://api.bar-rts.com/replays/e8d0306809845d23c86fe34acb07d703,https://api.bar-rts.com/replays/edd93068e3cf13e9930839d0f643e0ee","Unknown, Unknown, Unknown",94,20.9,Bo3 645: Tilfidius_Lamarre vs precisehawk4068 - precisehawk4068 wins 2-1 (94min)
Bo3_646,Legend1122 vs runforeal,Legend1122,2-1,"https://api.bar-rts.com/replays/67986368b2cf5d7791525aa192d31e0a,https://api.bar-rts.com/replays/e7a56368b0ae283c04ac633ef075ae1e,https://api.bar-rts.com/replays/d0a963681020024c712e6b79368841ff","Unknown, Unknown, Unknown",94,1.2,Bo3 646: Legend1122 vs runforeal - Legend1122 wins 2-1 (94min)
Bo3_647,Chardski123 vs galgtonold,galgtonold,3-0,"https://api.bar-rts.com/replays/8396166874a69c5d15c388c7f1569aa9,https://api.bar-rts.com/replays/899f166842388519c0e8dde8d8313f03,https://api.bar-rts.com/replays/43a516684e3b049806d6652cf4d20912","Unknown, Unknown, Unknown",94,1.0,Bo3 647: Chardski123 vs galgtonold - galgtonold wins 3-0 (94min)
Bo3_648,dmrompav vs zaizaizai,zaizaizai,2-1,"https://api.bar-rts.com/replays/93503468e9c232530d7659dd917c4b69,https://api.bar-rts.com/replays/a65234681dfc819161406ce3fd0acb0c,https://api.bar-rts.com/replays/225734681d92952897d652dc5a70a61d","Unknown, Unknown, Unknown",94,0.5,Bo3 648: dmrompav vs zaizaizai - zaizaizai wins 2-1 (94min)
Bo3_649,lildryboy vs sportzkid723,lildryboy,3-0,"https://api.bar-rts.com/replays/f2d42f68e0ef518a25d8634dd2e40d2f,https://api.bar-rts.com/replays/003e31680995503bc7cb735d3dbd36e3,https://api.bar-rts.com/replays/16d9336874bbfa77f0794e13e2e3a5ba","Unknown, Unknown, Unknown",93,73.1,Bo3 649: lildryboy vs sportzkid723 - lildryboy wins 3-0 (93min)
Bo3_650,9131Aueie vs KIWILXNDR,KIWILXNDR,2-1,"https://api.bar-rts.com/replays/155c066854ead5bb2e1a95fb110d41f9,https://api.bar-rts.com/replays/68610668007b6d4fc2b72502c7a5d1db,https://api.bar-rts.com/replays/b5670668f8937a66acaad74a7070dbcf","Unknown, Unknown, Unknown",93,0.8,Bo3 650: 9131Aueie vs KIWILXNDR - KIWILXNDR wins 2-1 (93min)
Bo3_651,OsRam vs trickytingu,OsRam,2-1,"https://api.bar-rts.com/replays/ae4c5c68076a088b1f3e5c63d1ad6bf5,https://api.bar-rts.com/replays/6e38606857fb54949b1d68b266c5e063,https://api.bar-rts.com/replays/b84a6068f5b2d8efc40352147d8188eb","Unknown, Unknown, Unknown",93,72.7,Bo3 651: OsRam vs trickytingu - OsRam wins 2-1 (93min)
Bo3_652,grrunnz vs ownd,grrunnz,1-1,"https://api.bar-rts.com/replays/c4c93168c851beb9b80b4ee7b6eaa93d,https://api.bar-rts.com/replays/52d631683c82d350c470d8e0c79e0d08,https://api.bar-rts.com/replays/e4d63168d45f9e4a2a5fca75ae8948db","Unknown, Unknown, Unknown",93,0.9,Bo3 652: grrunnz vs ownd - grrunnz wins 1-1 (93min)
Bo3_653,PRO_rANDY vs [DmE]C3BO,PRO_rANDY,2-1,"https://api.bar-rts.com/replays/205013682542c4753a94f4ea14ede7bc,https://api.bar-rts.com/replays/04571368a433ae43bb0d3c64efbb2664,https://api.bar-rts.com/replays/61801368b6d33d0449059888010876c6","Unknown, Unknown, Unknown",93,3.4,Bo3 653: PRO_rANDY vs [DmE]C3BO - PRO_rANDY wins 2-1 (93min)
Bo3_654,Brogle vs pickled_meepers,pickled_meepers,2-1,"https://api.bar-rts.com/replays/a6b64368ce4676ed3126a63b3b829e55,https://api.bar-rts.com/replays/9bc143689405638b2fab1132038ee32e,https://api.bar-rts.com/replays/ffa144683359373f45406939bbdc32d5","Unknown, Unknown, Unknown",93,16.7,Bo3 654: Brogle vs pickled_meepers - pickled_meepers wins 2-1 (93min)
Bo3_655,Jakstas vs OMGitsChewbacca,OMGitsChewbacca,2-1,"https://api.bar-rts.com/replays/b99939681260914ba9dab184772f4fec,https://api.bar-rts.com/replays/89a439681fce9d0ba8c71c18484bc253,https://api.bar-rts.com/replays/34ab3968e9ce4410e67c7a6ae6cd20eb","Unknown, Unknown, Unknown",93,1.2,Bo3 655: Jakstas vs OMGitsChewbacca - OMGitsChewbacca wins 2-1 (93min)
Bo3_656,CosmoRaptor23 vs GMHX,CosmoRaptor23,2-1,"https://api.bar-rts.com/replays/40e50d6830f3e0f6a3627bdb00092eff,https://api.bar-rts.com/replays/a4ef0d681328dc25982a6e2c3d5df608,https://api.bar-rts.com/replays/97901468a899bf65e785d53b93757f69","Unknown, Unknown, Unknown",93,121.4,Bo3 656: CosmoRaptor23 vs GMHX - CosmoRaptor23 wins 2-1 (93min)
Bo3_657,Crest4ever vs galgtonold,galgtonold,2-1,"https://api.bar-rts.com/replays/dbfa2468a41ff87a2ff96ed7b4b06b65,https://api.bar-rts.com/replays/ed032568fe6e24161b64c9d282ab1e08,https://api.bar-rts.com/replays/2e0a25687cce67529732f371418aa4bd","Unknown, Unknown, Unknown",92,1.1,Bo3 657: Crest4ever vs galgtonold - galgtonold wins 2-1 (92min)
Bo3_658,Khain007 vs Lutrotes,Khain007,2-1,"https://api.bar-rts.com/replays/58472168793f9e9788b7136964885f5d,https://api.bar-rts.com/replays/5e5521685687695d17f7676bfceed0e7,https://api.bar-rts.com/replays/ef5c21683576d787cd8c1af62da9485c","Unknown, Unknown, Unknown",92,1.5,Bo3 658: Khain007 vs Lutrotes - Khain007 wins 2-1 (92min)
Bo3_659,Flameiac vs joltin,Flameiac,1-1,"https://api.bar-rts.com/replays/caaf2a685528214639f2a847737df7c4,https://api.bar-rts.com/replays/21bc2a68c2f9cb713edcdd983bcb6786,https://api.bar-rts.com/replays/dd912e689a55fb5c48b3f42110adce1e","Unknown, Unknown, Unknown",92,70.7,Bo3 659: Flameiac vs joltin - Flameiac wins 1-1 (92min)
